precinct,A. D. NESBIT,ABBY BROYLES,BROCK PIERCE | KARLA BALLARD,DONALD J. TRUMP | MICHAEL R. PENCE,JADE SIMMONS | CLAUDELIAH J. ROZE,JIM INHOFE,JO JORGENSEN | JEREMY SPIKE COHEN,JOAN FARR,JOSEPH R. BIDEN | KAMALA D. HARRIS,KANYE WEST | MICHELLE TIDBALL,ROBERT MURPHY,TODD HAGOPIAN,TODD HIETT
160051,3,251,3,758,3,768,19,15,275,6,22,221,784
160053,0,0,0,0,0,0,0,0,0,0,0,0,0
170001,0,12,0,84,1,89,1,1,17,0,1,14,85
170003,1,54,2,394,3,401,8,5,65,0,8,55,405
170004,3,58,1,261,1,253,6,6,58,1,6,36,257
170005,5,88,1,359,3,357,8,13,93,4,5,66,380
170007,1,51,1,278,0,279,3,1,60,1,7,35,286
170008,0,13,0,54,0,57,1,0,15,0,0,5,57
170009,6,56,1,280,0,278,4,3,59,4,4,47,285
170010,0,8,0,162,1,160,0,1,6,1,1,4,162
170011,2,18,0,245,0,240,3,3,20,2,7,20,244
180140,4,156,1,641,2,574,13,11,106,1,14,102,630
180320,2,40,0,155,1,140,2,2,29,0,3,23,153
180410,4,98,1,386,0,342,6,8,68,4,9,62,381
180520,3,101,1,320,2,300,3,11,94,0,5,74,330
180611,5,128,0,355,1,319,10,8,113,4,21,95,361
180612,1,101,3,233,0,211,4,4,92,1,10,53,241
180621,5,237,3,522,1,476,13,12,204,5,16,158,545
180622,5,199,1,350,1,324,14,7,182,2,13,134,375
180710,4,74,0,354,0,324,10,9,61,0,12,57,348
180810,1,114,0,489,0,451,4,4,91,1,14,61,503
180820,6,99,1,558,1,517,4,12,89,0,16,72,545
180910,5,99,0,323,1,300,5,6,88,2,11,54,342
190111,10,245,0,699,2,663,10,17,242,3,18,164,746
190112,2,63,1,247,0,224,8,11,58,0,13,59,243
190121,8,280,1,993,2,929,10,25,259,2,20,176,1029
190122,1,167,0,86,0,84,6,5,166,3,4,101,110
190131,2,152,1,389,0,356,4,15,145,1,11,86,408
190132,9,288,3,808,7,774,25,17,259,5,23,174,894
190142,11,640,7,1405,6,1305,30,52,618,7,54,377,1562
190143,10,308,3,593,5,555,15,15,304,6,38,214,627
190211,2,126,1,292,0,281,4,8,130,2,10,81,322
190221,3,88,3,230,0,224,4,8,89,2,7,54,259
190231,3,150,2,313,2,313,6,9,154,2,8,95,365
190241,4,144,1,367,1,340,7,4,126,3,11,79,399
190311,8,162,2,690,3,643,11,13,143,1,21,102,710
190401,4,210,1,693,2,644,17,15,183,0,20,137,716
190402,3,214,2,736,4,703,14,18,203,2,17,128,787
190403,9,185,2,813,2,766,14,20,172,2,25,137,835
190404,14,418,2,1631,5,1530,34,34,378,4,52,256,1686
190405,12,188,4,958,1,896,18,15,163,0,30,147,962
190406,5,110,0,541,1,511,14,11,91,1,12,75,549
190407,1,53,0,309,0,293,3,9,54,0,10,39,322
190408,0,76,0,390,1,364,11,9,59,0,9,43,392
190409,2,193,3,779,1,739,11,9,178,1,27,121,814
190410,1,30,0,229,0,218,0,0,23,2,4,16,233
190411,3,102,2,423,2,391,4,12,92,2,9,67,435
190412,3,100,0,446,4,426,7,10,97,2,12,57,468
190413,4,143,1,739,1,702,6,12,139,1,24,99,762
190414,12,332,1,1557,2,1478,37,33,294,2,33,217,1612
190415,3,98,2,380,2,360,5,9,94,1,13,73,388
190416,3,135,0,670,1,644,9,15,136,3,19,104,682
190417,13,340,1,1550,1,1476,22,21,322,3,40,233,1595
190418,9,325,0,966,1,948,17,9,325,3,23,173,1061
190419,7,284,1,779,1,757,23,7,270,6,26,177,844
190420,3,198,0,392,0,386,10,5,204,1,12,103,456
190421,8,294,1,732,1,722,14,11,303,4,19,191,802
190422,7,115,1,469,3,452,8,3,104,6,14,66,508
200001,5,219,3,398,0,369,12,13,216,3,24,154,431
200003,2,236,3,600,4,585,7,12,233,2,14,161,659
200005,3,217,1,619,1,589,6,15,225,1,24,138,670
200007,8,191,1,373,1,358,4,8,196,1,7,125,411
200012,0,101,0,493,1,475,11,8,90,1,12,81,498
200013,0,50,0,260,0,250,1,4,49,1,4,35,258
200018,6,254,4,917,2,894,16,4,247,2,30,160,985
200019,8,285,0,853,2,818,29,17,279,8,37,204,904
200020,9,274,2,1153,4,1118,33,11,245,6,35,173,1230
200021,14,404,0,803,5,759,63,23,396,5,67,358,857
200022,1,43,0,327,0,318,6,5,37,1,3,34,329
200023,8,115,0,718,0,687,5,10,109,0,10,74,730
200026,1,65,0,546,0,515,4,4,47,0,8,30,545
210001,7,213,2,900,1,874,4,19,206,1,4,123,943
210002,3,117,1,378,1,358,1,3,110,1,10,68,390
210003,5,312,1,810,0,753,5,15,292,1,23,171,825
210004,6,132,2,456,1,439,2,10,135,2,11,89,472
